Run,Measurement,Rep,Pot,Cultivar,Isolate,lesion
1,1,1,101,52-82B,47,5.39
1,1,1,102,Dwight,62,35.25
1,1,1,103,SSR51-70,62,6.48
1,1,1,104,SSR51-70,3,8.3
1,1,1,105,Dwight,60,78.54
1,1,1,106,51-23,15,18.56
1,1,1,107,SSR51-70,20,13.93
1,1,1,108,51-23,30,32.3
1,1,1,109,Dwight,15,47.97
1,1,1,110,52-82B,10,6.87
1,1,1,111,Dwight,30,63.23
1,1,1,112,Dwight,10,17.53
1,1,1,113,Dwight,19,61.32
1,1,1,114,52-82B,30,4.92
1,1,1,115,Dwight,20,50.91
1,1,1,116,51-23,62,9.12
1,1,1,117,52-82B,60,5.52
1,1,1,118,52-82B,3,3.28
1,1,1,119,SSR51-70,60,21.69
1,1,1,120,51-23,10,22.44
1,1,1,121,SSR51-70,19,18.78
1,1,1,122,51-23,60,31.94
1,1,1,123,52-82B,15,7.39
1,1,1,124,51-23,19,23.09
1,1,1,125,51-23,20,17.38
1,1,1,126,51-23,47,9.57
1,1,1,127,52-82B,62,6.94
1,1,1,128,SSR51-70,47,8.87
1,1,1,129,SSR51-70,30,8.99
1,1,1,130,52-82B,20,20.74
1,1,1,131,SSR51-70,10,4.54
1,1,1,132,Dwight,3,1.26
1,1,1,133,51-23,3,0
1,1,1,134,SSR51-70,15,6.91
1,1,1,135,52-82B,19,8.54
1,1,1,136,Dwight,47,5.33
1,1,2,201,Dwight,20,73.17
1,1,2,202,51-23,3,9.26
1,1,2,203,52-82B,62,6.36
1,1,2,204,52-82B,15,5.1
1,1,2,205,Dwight,30,84.4
1,1,2,206,52-82B,30,7.03
1,1,2,207,52-82B,19,7.1
1,1,2,208,Dwight,47,8
1,1,2,209,SSR51-70,47,7.88
1,1,2,210,52-82B,20,8.18
1,1,2,211,SSR51-70,3,7.91
1,1,2,212,52-82B,47,6.54
1,1,2,213,51-23,60,19.2
1,1,2,214,51-23,30,9.64
1,1,2,215,SSR51-70,62,34.71
1,1,2,216,SSR51-70,15,31.92
1,1,2,217,SSR51-70,20,31.52
1,1,2,218,52-82B,60,15.16
1,1,2,219,51-23,47,6.37
1,1,2,220,51-23,62,31.46
1,1,2,221,Dwight,62,20.41
1,1,2,222,Dwight,15,40.15
1,1,2,223,Dwight,10,7.29
1,1,2,224,51-23,20,44.46
1,1,2,225,52-82B,3,6.23
1,1,2,226,Dwight,3,3.32
1,1,2,227,Dwight,60,11.48
1,1,2,228,SSR51-70,60,8.64
1,1,2,229,SSR51-70,19,9.82
1,1,2,230,SSR51-70,30,32.04
1,1,2,231,52-82B,10,7.42
1,1,2,232,Dwight,19,22.5
1,1,2,233,51-23,10,12.93
1,1,2,234,51-23,19,6.74
1,1,2,235,SSR51-70,10,21
1,1,2,236,51-23,15,11.42
1,1,3,301,SSR51-70,62,7.23
1,1,3,302,SSR51-70,20,26.27
1,1,3,303,Dwight,3,12.65
1,1,3,304,51-23,30,7.64
1,1,3,305,52-82B,60,7.7
1,1,3,306,SSR51-70,10,8.93
1,1,3,307,SSR51-70,3,9.26
1,1,3,308,52-82B,20,5.97
1,1,3,309,Dwight,10,54.97
1,1,3,310,Dwight,15,17.82
1,1,3,311,Dwight,20,72.01
1,1,3,312,51-23,15,7.27
1,1,3,313,52-82B,10,6.06
1,1,3,314,SSR51-70,19,50.68
1,1,3,315,Dwight,62,40.4
1,1,3,316,52-82B,62,10.17
1,1,3,317,51-23,19,87.91
1,1,3,318,SSR51-70,15,7.5
1,1,3,319,Dwight,30,30.36
1,1,3,320,51-23,20,28.48
1,1,3,321,51-23,60,9.67
1,1,3,322,SSR51-70,60,7.73
1,1,3,323,52-82B,3,6.14
1,1,3,324,SSR51-70,47,14.79
1,1,3,325,Dwight,19,17.54
1,1,3,326,Dwight,47,7.8
1,1,3,327,SSR51-70,30,24.86
1,1,3,328,51-23,3,2.62
1,1,3,329,Dwight,60,69.24
1,1,3,330,51-23,47,4.96
1,1,3,331,52-82B,47,6.73
1,1,3,332,51-23,62,7.8
1,1,3,333,52-82B,30,9.99
1,1,3,334,52-82B,15,6.06
1,1,3,335,51-23,10,18.34
1,1,3,336,52-82B,19,8.06
1,1,4,401,Dwight,62,47.11
1,1,4,402,51-23,20,35.97
1,1,4,403,52-82B,30,11.45
1,1,4,404,Dwight,3,5.96
1,1,4,405,SSR51-70,60,24.74
1,1,4,406,51-23,62,19.55
1,1,4,407,SSR51-70,20,17.83
1,1,4,408,Dwight,20,32.53
1,1,4,409,Dwight,60,29.11
1,1,4,410,SSR51-70,3,.
1,1,4,411,Dwight,30,33.44
1,1,4,412,Dwight,15,16.34
1,1,4,413,51-23,30,12.42
1,1,4,414,51-23,3,3.85
1,1,4,415,52-82B,15,8.21
1,1,4,416,SSR51-70,19,42.85
1,1,4,417,52-82B,19,5.42
1,1,4,418,SSR51-70,30,26.11
1,1,4,419,Dwight,47,10.23
1,1,4,420,52-82B,60,5.87
1,1,4,421,Dwight,10,62.74
1,1,4,422,SSR51-70,15,12.03
1,1,4,423,51-23,47,6.01
1,1,4,424,Dwight,19,51.7
1,1,4,425,52-82B,47,7.7
1,1,4,426,52-82B,10,5.85
1,1,4,427,52-82B,62,6.68
1,1,4,428,51-23,10,65.37
1,1,4,429,52-82B,3,0
1,1,4,430,SSR51-70,10,32.1
1,1,4,431,51-23,15,11.31
1,1,4,432,51-23,60,31.93
1,1,4,433,51-23,19,5.84
1,1,4,434,SSR51-70,62,21.56
1,1,4,435,52-82B,20,12.66
1,1,4,436,SSR51-70,47,3.43
1,2,1,101,52-82B,47,5.43
1,2,1,102,Dwight,62,97.78
1,2,1,103,SSR51-70,62,9.16
1,2,1,104,SSR51-70,3,10.52
1,2,1,105,Dwight,60,109.92
1,2,1,106,51-23,15,30.37
1,2,1,107,SSR51-70,20,21.17
1,2,1,108,51-23,30,65.94
1,2,1,109,Dwight,15,91.28
1,2,1,110,52-82B,10,8.41
1,2,1,111,Dwight,30,99.74
1,2,1,112,Dwight,10,39.09
1,2,1,113,Dwight,19,125.96
1,2,1,114,52-82B,30,12.03
1,2,1,115,Dwight,20,126.15
1,2,1,116,51-23,62,14.52
1,2,1,117,52-82B,60,6.51
1,2,1,118,52-82B,3,5.99
1,2,1,119,SSR51-70,60,45.57
1,2,1,120,51-23,10,40.91
1,2,1,121,SSR51-70,19,30.75
1,2,1,122,51-23,60,51.71
1,2,1,123,52-82B,15,7.41
1,2,1,124,51-23,19,63.15
1,2,1,125,51-23,20,22.85
1,2,1,126,51-23,47,8.31
1,2,1,127,52-82B,62,10.03
1,2,1,128,SSR51-70,47,9.3
1,2,1,129,SSR51-70,30,13.25
1,2,1,130,52-82B,20,64.07
1,2,1,131,SSR51-70,10,8.53
1,2,1,132,Dwight,3,4.91
1,2,1,133,51-23,3,0
1,2,1,134,SSR51-70,15,9.22
1,2,1,135,52-82B,19,8.11
1,2,1,136,Dwight,47,5.93
1,2,2,201,Dwight,20,216.43
1,2,2,202,51-23,3,7.46
1,2,2,203,52-82B,62,8.25
1,2,2,204,52-82B,15,8.19
1,2,2,205,Dwight,30,134.29
1,2,2,206,52-82B,30,7.92
1,2,2,207,52-82B,19,5.63
1,2,2,208,Dwight,47,11.2
1,2,2,209,SSR51-70,47,10.67
1,2,2,210,52-82B,20,12.66
1,2,2,211,SSR51-70,3,7.29
1,2,2,212,52-82B,47,10.17
1,2,2,213,51-23,60,42.42
1,2,2,214,51-23,30,13.78
1,2,2,215,SSR51-70,62,63.36
1,2,2,216,SSR51-70,15,59.79
1,2,2,217,SSR51-70,20,77.09
1,2,2,218,52-82B,60,37.56
1,2,2,219,51-23,47,8.25
1,2,2,220,51-23,62,53.53
1,2,2,221,Dwight,62,71.92
1,2,2,222,Dwight,15,131.71
1,2,2,223,Dwight,10,40.77
1,2,2,224,51-23,20,93.39
1,2,2,225,52-82B,3,4.88
1,2,2,226,Dwight,3,4.68
1,2,2,227,Dwight,60,11.34
1,2,2,228,SSR51-70,60,9.86
1,2,2,229,SSR51-70,19,18.96
1,2,2,230,SSR51-70,30,57.98
1,2,2,231,52-82B,10,7.85
1,2,2,232,Dwight,19,155.16
1,2,2,233,51-23,10,42.86
1,2,2,234,51-23,19,8.74
1,2,2,235,SSR51-70,10,56.34
1,2,2,236,51-23,15,49.03
1,2,3,301,SSR51-70,62,8.47
1,2,3,302,SSR51-70,20,76.67
1,2,3,303,Dwight,3,32.02
1,2,3,304,51-23,30,11.23
1,2,3,305,52-82B,60,7.37
1,2,3,306,SSR51-70,10,9.14
1,2,3,307,SSR51-70,3,6.42
1,2,3,308,52-82B,20,11.96
1,2,3,309,Dwight,10,121.43
1,2,3,310,Dwight,15,79.55
1,2,3,311,Dwight,20,137.59
1,2,3,312,51-23,15,8.57
1,2,3,313,52-82B,10,42.3
1,2,3,314,SSR51-70,19,78.14
1,2,3,315,Dwight,62,106.06
1,2,3,316,52-82B,62,21.02
1,2,3,317,51-23,19,152.06
1,2,3,318,SSR51-70,15,9.39
1,2,3,319,Dwight,30,90.8
1,2,3,320,51-23,20,49.05
1,2,3,321,51-23,60,22.21
1,2,3,322,SSR51-70,60,14.78
1,2,3,323,52-82B,3,7.29
1,2,3,324,SSR51-70,47,15.77
1,2,3,325,Dwight,19,82.59
1,2,3,326,Dwight,47,11.73
1,2,3,327,SSR51-70,30,90.13
1,2,3,328,51-23,3,20.44
1,2,3,329,Dwight,60,64.33
1,2,3,330,51-23,47,6
1,2,3,331,52-82B,47,7.03
1,2,3,332,51-23,62,9.5
1,2,3,333,52-82B,30,15.41
1,2,3,334,52-82B,15,21.21
1,2,3,335,51-23,10,40.07
1,2,3,336,52-82B,19,32.08
1,2,4,401,Dwight,62,94.63
1,2,4,402,51-23,20,72.5
1,2,4,403,52-82B,30,35.36
1,2,4,404,Dwight,3,12.03
1,2,4,405,SSR51-70,60,33.98
1,2,4,406,51-23,62,18.27
1,2,4,407,SSR51-70,20,48.67
1,2,4,408,Dwight,20,90
1,2,4,409,Dwight,60,43.02
1,2,4,410,SSR51-70,3,.
1,2,4,411,Dwight,30,95.33
1,2,4,412,Dwight,15,51.92
1,2,4,413,51-23,30,15.48
1,2,4,414,51-23,3,6.48
1,2,4,415,52-82B,15,12.71
1,2,4,416,SSR51-70,19,68.63
1,2,4,417,52-82B,19,8.12
1,2,4,418,SSR51-70,30,38.2
1,2,4,419,Dwight,47,14.32
1,2,4,420,52-82B,60,7.43
1,2,4,421,Dwight,10,144.19
1,2,4,422,SSR51-70,15,13.87
1,2,4,423,51-23,47,5.7
1,2,4,424,Dwight,19,124.62
1,2,4,425,52-82B,47,6.96
1,2,4,426,52-82B,10,8.33
1,2,4,427,52-82B,62,11.02
1,2,4,428,51-23,10,117.12
1,2,4,429,52-82B,3,5.2
1,2,4,430,SSR51-70,10,83.52
1,2,4,431,51-23,15,8.9
1,2,4,432,51-23,60,77.36
1,2,4,433,51-23,19,4.59
1,2,4,434,SSR51-70,62,108.9
1,2,4,435,52-82B,20,24.76
1,2,4,436,SSR51-70,47,4.28
1,3,1,101,52-82B,47,6.19
1,3,1,102,Dwight,62,132.79
1,3,1,103,SSR51-70,62,8.12
1,3,1,104,SSR51-70,3,9.23
1,3,1,105,Dwight,60,111.23
1,3,1,106,51-23,15,60.09
1,3,1,107,SSR51-70,20,30.04
1,3,1,108,51-23,30,84.56
1,3,1,109,Dwight,15,163.78
1,3,1,110,52-82B,10,9
1,3,1,111,Dwight,30,164.05
1,3,1,112,Dwight,10,43.35
1,3,1,113,Dwight,19,148.49
1,3,1,114,52-82B,30,23.17
1,3,1,115,Dwight,20,148.75
1,3,1,116,51-23,62,39.39
1,3,1,117,52-82B,60,7.16
1,3,1,118,52-82B,3,7.55
1,3,1,119,SSR51-70,60,59.06
1,3,1,120,51-23,10,42.89
1,3,1,121,SSR51-70,19,46.41
1,3,1,122,51-23,60,98.14
1,3,1,123,52-82B,15,8.28
1,3,1,124,51-23,19,39.87
1,3,1,125,51-23,20,29.04
1,3,1,126,51-23,47,8.57
1,3,1,127,52-82B,62,8.71
1,3,1,128,SSR51-70,47,9.57
1,3,1,129,SSR51-70,30,12.26
1,3,1,130,52-82B,20,102.88
1,3,1,131,SSR51-70,10,5.84
1,3,1,132,Dwight,3,4.75
1,3,1,133,51-23,3,0
1,3,1,134,SSR51-70,15,8.33
1,3,1,135,52-82B,19,9.42
1,3,1,136,Dwight,47,11.89
1,3,2,201,Dwight,20,121.35
1,3,2,202,51-23,3,9.64
1,3,2,203,52-82B,62,7.05
1,3,2,204,52-82B,15,7.31
1,3,2,205,Dwight,30,120.64
1,3,2,206,52-82B,30,7.51
1,3,2,207,52-82B,19,8.91
1,3,2,208,Dwight,47,16.97
1,3,2,209,SSR51-70,47,9.19
1,3,2,210,52-82B,20,8.16
1,3,2,211,SSR51-70,3,6.77
1,3,2,212,52-82B,47,7.83
1,3,2,213,51-23,60,72.59
1,3,2,214,51-23,30,29.68
1,3,2,215,SSR51-70,62,89.18
1,3,2,216,SSR51-70,15,90.05
1,3,2,217,SSR51-70,20,99.36
1,3,2,218,52-82B,60,53.82
1,3,2,219,51-23,47,5.42
1,3,2,220,51-23,62,133.61
1,3,2,221,Dwight,62,73.05
1,3,2,222,Dwight,15,201.75
1,3,2,223,Dwight,10,43.76
1,3,2,224,51-23,20,154.94
1,3,2,225,52-82B,3,4.57
1,3,2,226,Dwight,3,4.25
1,3,2,227,Dwight,60,12.16
1,3,2,228,SSR51-70,60,10.17
1,3,2,229,SSR51-70,19,31.51
1,3,2,230,SSR51-70,30,70.08
1,3,2,231,52-82B,10,7.92
1,3,2,232,Dwight,19,170.94
1,3,2,233,51-23,10,34.79
1,3,2,234,51-23,19,8.88
1,3,2,235,SSR51-70,10,59.78
1,3,2,236,51-23,15,61.92
1,3,3,301,SSR51-70,62,8.38
1,3,3,302,SSR51-70,20,99.87
1,3,3,303,Dwight,3,37.22
1,3,3,304,51-23,30,12.63
1,3,3,305,52-82B,60,7.71
1,3,3,306,SSR51-70,10,9.07
1,3,3,307,SSR51-70,3,7.2
1,3,3,308,52-82B,20,29.63
1,3,3,309,Dwight,10,164.53
1,3,3,310,Dwight,15,131.44
1,3,3,311,Dwight,20,172.67
1,3,3,312,51-23,15,5.75
1,3,3,313,52-82B,10,30.45
1,3,3,314,SSR51-70,19,93.35
1,3,3,315,Dwight,62,164.86
1,3,3,316,52-82B,62,39.83
1,3,3,317,51-23,19,199.57
1,3,3,318,SSR51-70,15,10.11
1,3,3,319,Dwight,30,96.24
1,3,3,320,51-23,20,140.97
1,3,3,321,51-23,60,36.61
1,3,3,322,SSR51-70,60,18.08
1,3,3,323,52-82B,3,6.24
1,3,3,324,SSR51-70,47,14.23
1,3,3,325,Dwight,19,185.23
1,3,3,326,Dwight,47,11.97
1,3,3,327,SSR51-70,30,97.59
1,3,3,328,51-23,3,6.14
1,3,3,329,Dwight,60,131.57
1,3,3,330,51-23,47,30.52
1,3,3,331,52-82B,47,7.99
1,3,3,332,51-23,62,7.67
1,3,3,333,52-82B,30,48.16
1,3,3,334,52-82B,15,32.1
1,3,3,335,51-23,10,57.59
1,3,3,336,52-82B,19,6.83
1,3,4,401,Dwight,62,133.05
1,3,4,402,51-23,20,52.81
1,3,4,403,52-82B,30,47.24
1,3,4,404,Dwight,3,6.85
1,3,4,405,SSR51-70,60,58.56
1,3,4,406,51-23,62,29.67
1,3,4,407,SSR51-70,20,52.39
1,3,4,408,Dwight,20,134.1
1,3,4,409,Dwight,60,81.7
1,3,4,410,SSR51-70,3,.
1,3,4,411,Dwight,30,93.3
1,3,4,412,Dwight,15,102.33
1,3,4,413,51-23,30,16.63
1,3,4,414,51-23,3,6.48
1,3,4,415,52-82B,15,10.97
1,3,4,416,SSR51-70,19,92.04
1,3,4,417,52-82B,19,7.75
1,3,4,418,SSR51-70,30,45.4
1,3,4,419,Dwight,47,14.32
1,3,4,420,52-82B,60,7.8
1,3,4,421,Dwight,10,156.32
1,3,4,422,SSR51-70,15,16.03
1,3,4,423,51-23,47,7.97
1,3,4,424,Dwight,19,194.91
1,3,4,425,52-82B,47,10.92
1,3,4,426,52-82B,10,7.93
1,3,4,427,52-82B,62,9.89
1,3,4,428,51-23,10,197.87
1,3,4,429,52-82B,3,5.46
1,3,4,430,SSR51-70,10,127.36
1,3,4,431,51-23,15,11.59
1,3,4,432,51-23,60,150.94
1,3,4,433,51-23,19,5.49
1,3,4,434,SSR51-70,62,104.29
